Ornithopter airfoil.
  0.245137 -0.03348405
  0.2519878 -0.0333726
  0.2588464 -0.03324025
  0.2657111 -0.03308731
  0.2725803 -0.03291396
  0.2794524 -0.03272038
  0.2863262 -0.03250675
  0.2932002 -0.03227329
  0.3000731 -0.03202022
  0.3069437 -0.03174772
  0.3138112 -0.03145572
  0.3206751 -0.03114404
  0.3275353 -0.03081248
  0.3343923 -0.03046083
  0.3412472 -0.03008883
  0.3481015 -0.02969618
  0.354957 -0.0292826
  0.361816 -0.02884837
  0.3686809 -0.02839413
  0.3755536 -0.02792053
  0.3824361 -0.0274282
  0.3893301 -0.02691777
  0.3962372 -0.0263899
  0.4031587 -0.02584522
  0.410096 -0.02528456
  0.4170499 -0.02470907
  0.4240212 -0.02412001
  0.4310101 -0.02351868
  0.4380164 -0.02290644
  0.4450395 -0.0222847
  0.4520784 -0.02165496
  0.4591315 -0.02101872
  0.466197 -0.02037704
  0.4732729 -0.01973058
  0.4803575 -0.01908
  0.4874489 -0.01842597
  0.4945454 -0.01776915
  0.5016456 -0.0171102
  0.5087478 -0.01644976
  0.5158507 -0.01578849
  0.522953 -0.01512695
  0.5300537 -0.01446572
  0.5371518 -0.01380532
  0.5442466 -0.01314627
  0.5513375 -0.01248909
  0.5584242 -0.01183424
  0.5655066 -0.0111822
  0.5725845 -0.0105334
  0.5796581 -0.00988826
  0.5867271 -0.009247189
  0.5937915 -0.008610607
  0.600851 -0.007978939
  0.6079053 -0.007352612
  0.6149541 -0.00673206
  0.6219967 -0.006117719
  0.6290328 -0.005510086
  0.6360619 -0.004909748
  0.6430838 -0.004317281
  0.6500985 -0.00373324
  0.6571063 -0.003158159
  0.6641073 -0.002592555
  0.6711023 -0.00203693
  0.6780919 -0.001491763
  0.685077 -0.0009574276
  0.692058 -0.0004342159
  0.6990354 7.755902e-05
  0.706009 0.0005775633
  0.7129786 0.001065445
  0.7199436 0.001540836
  0.7269032 0.002003356
  0.7338561 0.002452559
  0.7408014 0.002887745
  0.7477382 0.003308162
  0.7546659 0.003713089
  0.7615844 0.004101833
  0.7684937 0.004473725
  0.7753941 0.004828117
  0.7822864 0.00516438
  0.7891712 0.005481958
  0.7960489 0.005780322
  0.8029195 0.006058929
  0.8097827 0.006317225
  0.8166376 0.006554654
  0.8234831 0.00677066
  0.8303176 0.006964658
  0.8371397 0.007135757
  0.8439478 0.007282937
  0.850741 0.007405212
  0.8575186 0.007501632
  0.8642803 0.007571272
  0.8710261 0.007613225
  0.8777559 0.007626528
  0.8844687 0.007610141
  0.8911623 0.007563061
  0.8978332 0.007484365
  0.9044765 0.007373241
  0.9110865 0.007228934
  0.9176563 0.007049923
  0.924178 0.006834346
  0.9306429 0.006580653
  0.9370419 0.006287653
  0.9433654 0.005954492
  0.9496001 0.005580222
  0.9557227 0.005164744
  0.9617022 0.004709631
  0.9675044 0.004218057
  0.9730938 0.003691628
  0.9784306 0.003130706
  0.9834783 0.002538939
  0.9882119 0.001921208
  0.9926201 0.001276349
