 NLR-7223-43 AIRFOIL
  0.1452535 -0.02454588
  0.1518864 -0.02495413
  0.158514 -0.0253491
  0.1651388 -0.02572599
  0.1717919 -0.02608752
  0.1784636 -0.02643994
  0.1851105 -0.02677967
  0.1917414 -0.02709873
  0.198411 -0.02740066
  0.2051264 -0.02769671
  0.2118376 -0.02798725
  0.2185221 -0.02826485
  0.2251995 -0.02852725
  0.2318927 -0.02877572
  0.238613 -0.02901356
  0.2453466 -0.02924506
  0.2520661 -0.02946886
  0.2587677 -0.02968026
  0.2654728 -0.02987819
  0.2721947 -0.03006568
  0.2789247 -0.03024462
  0.285652 -0.03041405
  0.2923802 -0.03057314
  0.2991176 -0.03072294
  0.305862 -0.03086496
  0.312602 -0.03099922
  0.3193327 -0.03112383
  0.3260606 -0.03123786
  0.3327901 -0.03134167
  0.3395191 -0.03143547
  0.3462474 -0.03151904
  0.3529839 -0.0315923
  0.3597389 -0.03165691
  0.3665063 -0.03171579
  0.3732609 -0.0317699
  0.3799871 -0.03181478
  0.3866995 -0.03184619
  0.393422 -0.03186528
  0.4001599 -0.03187496
  0.4069033 -0.03187629
  0.4136435 -0.03186893
  0.4203775 -0.03185257
  0.4271053 -0.03182683
  0.4338279 -0.03179132
  0.440547 -0.03174565
  0.4472648 -0.03168941
  0.4539844 -0.03162233
  0.4607085 -0.03154477
  0.4674384 -0.03145725
  0.4741744 -0.03136031
  0.4809151 -0.03125449
  0.4876578 -0.03114025
  0.4943992 -0.03101734
  0.5011351 -0.03088536
  0.5078612 -0.03074395
  0.5145725 -0.03059276
  0.5212642 -0.03043129
  0.5279325 -0.03025838
  0.5345756 -0.03007274
  0.5411943 -0.02987307
  0.5477911 -0.02965802
  0.5543699 -0.02942588
  0.56093 -0.02917419
  0.5674612 -0.02890078
  0.5739445 -0.02860411
  0.5803535 -0.02828344
  0.5866574 -0.02793793
  0.5928359 -0.02756271
  0.598891 -0.02715146
  0.6048435 -0.02669719
  0.6107284 -0.02619163
  0.6165937 -0.02562432
  0.6224992 -0.02498777
  0.6284998 -0.02428352
  0.6346343 -0.02351518
  0.640921 -0.02268946
  0.6473489 -0.02181849
  0.6538695 -0.0209206
  0.660419 -0.02001344
  0.6669532 -0.01911128
  0.6734538 -0.01822465
  0.6799282 -0.01736028
  0.6864027 -0.01651888
  0.692901 -0.01569582
  0.6994332 -0.01488778
  0.7059952 -0.01409322
  0.7125676 -0.01331239
  0.7191221 -0.01254935
  0.7256387 -0.0118098
  0.732111 -0.01109774
  0.7385449 -0.01041564
  0.7449577 -0.00976459
  0.7513715 -0.00914285
  0.7578001 -0.008547904
  0.7642464 -0.007978377
  0.7707022 -0.007433864
  0.7771502 -0.006915353
  0.7835786 -0.006424905
  0.7899898 -0.005963602
  0.7964001 -0.005531628
  0.8028401 -0.005128382
  0.8093454 -0.004749171
  0.8159316 -0.004386956
  0.8225822 -0.00403593
  0.8292449 -0.003692277
  0.8358536 -0.003361732
  0.8423757 -0.00305414
  0.8488192 -0.002776793
  0.8552258 -0.002535152
  0.8616598 -0.00232643
  0.868171 -0.002137656
  0.8747775 -0.001955641
  0.88146 -0.001768623
  0.8881743 -0.001576946
  0.8948823 -0.001387031
  0.9015597 -0.001204907
  0.9081968 -0.00103601
  0.914797 -0.000884399
  0.9213716 -0.0007493992
  0.9279346 -0.0006288998
  0.9345026 -0.0005208946
  0.9410945 -0.0004234584
  0.9477292 -0.0003347896
  0.9543938 -0.0002535968
  0.9610147 -0.0001791617
  0.9674666 -0.0001110848
  0.9736077 -4.902668e-05
  0.9793222 4.844224e-06
  0.9845314 4.099706e-05
  0.9892043 5.420733e-05
  0.9933667 4.736771e-05
  0.9970824 2.635489e-05
