SARATOV AIRFOIL
  0.6264233 0.04681458
  0.6337371 0.04590895
  0.6410642 0.04499371
  0.6484085 0.04406964
  0.6557726 0.04313766
  0.6631582 0.04219886
  0.6705654 0.04125447
  0.6779936 0.04030591
  0.6854407 0.03935479
  0.6929032 0.03840289
  0.7003764 0.0374522
  0.7078544 0.0365045
  0.7153318 0.03556036
  0.7228045 0.03461995
  0.7302696 0.03368324
  0.7377254 0.03275008
  0.7451718 0.03182012
  0.7526094 0.0308929
  0.7600406 0.02996777
  0.7674687 0.02904395
  0.7748982 0.02812052
  0.782335 0.0271964
  0.7897861 0.02627034
  0.79726 0.02534093
  0.804764 0.0244069
  0.8122502 0.02347413
  0.8196892 0.02254638
  0.8270794 0.02162394
  0.8344233 0.02070661
  0.8417269 0.01979375
  0.8489992 0.01888432
  0.8562524 0.01797688
  0.8635016 0.01706962
  0.8707655 0.01616029
  0.8780665 0.01524619
  0.8854316 0.01432399
  0.8928922 0.01338985
  0.90033 0.01245869
  0.9076014 0.01154854
  0.9146811 0.01066257
  0.9215523 0.009802879
  0.9282047 0.008970715
  0.934634 0.008166611
  0.9408404 0.007390533
  0.9468275 0.006642014
  0.9526013 0.005920282
  0.9581696 0.005224354
  0.9635412 0.00455312
  0.9687254 0.003905404
  0.9737317 0.003280005
  0.9785695 0.002675734
  0.9832482 0.00209143
  0.9877765 0.001525979
  0.9921629 0.0009783184
  0.9964154 0.0004474452
